News ID,Content,Noun Chunks
N10035,Democrat Warren wants $7 billion fund to give grants to minority entrepreneurs,"['democrat warren', '$7 billion fund', 'grants', 'minority entrepreneurs']"
N10036,Tennis nonprofit brings lessons to new generation of children,"['tennis nonprofit', 'lessons', 'new generation', 'children']"
N10037,"Elk Uses a Car as Step Stool in Estes Park, Colorado","['a car', 'step stool', 'estes park', 'colorado']"
N10038,President Trump doubles down on his fight to add citizenship question to census,"['president trump', 'his fight', 'citizenship question']"
N10039,Every-day technologies that came from the space program,"['every-day technologies', 'that', 'the space program']"
N10040,Wendy Williams Just Revealed She's Been Diagnosed With Lymphedema,"['wendy williams', 'she', 'lymphedema']"
N10041,Reborn Porsche 935 Shown In Stunning Liveries,"['reborn porsche', 'stunning liveries']"
N10042,"Dana White says Luke Rockhold broke jaw at UFC 239, urges ex-champ to 'hang it up'","['dana white', 'luke rockhold', 'jaw', 'ufc', 'ex', '-', 'champ', 'it']"
N10043,Washington Nationals vs Philadelphia Phillies: GameThread 72 of 162,"['washington nationals', 'philadelphia phillies', 'gamethread']"
N10044,Game 69 Preview: Indians at Tigers,"['game 69 preview', 'indians', 'tigers']"
N10045,Donovan Mitchell predicts where NBA free agents will land,"['donovan mitchell', 'nba free agents']"
N10046,More Bad News for Sprint and T-Mobile Merger Ambitions,"['more bad news', 'sprint and t-mobile merger ambitions']"
N10047,"Sopranos movie prequel, ""The Many Saints of Newark""","['sopranos movie prequel', 'the many saints', 'newark']"
N10048,Astros insider: Stuck in a frustrating rut,"['astros insider', 'a frustrating rut']"
N10049,"Kylie Jenner Talked About 'How Rich She Is' at the Met Gala, Says Alex Rodriguez","['kylie jenner', 'she', 'the met gala', 'alex rodriguez']"
N10050,The Good Fight - The Schtup List (Sneak Peek),"['the good fight', 'the schtup list', 'sneak peek']"
N10051,Democratic Presidential Candidate Elizabeth Warren Visits Homestead Facility For Migrant Children,"['democratic presidential candidate elizabeth warren', 'homestead facility', 'migrant children']"
N10052,Tonto National Forest restrictions ordered due to wildfire risk,"['tonto national forest restrictions', 'wildfire risk']"
N10053,Can you find the penguin among the flock of toucans in this viral brainteaser?,"['you', 'the penguin', 'the flock', 'toucans', 'this viral brainteaser']"
N10054,Inside Walmart's Year-Long Project To Be A Shipper Of Choice,"[""walmart's year-long project"", 'a shipper', 'choice']"
N10055,Okeechobee County deputies investigating overdoses,"['okeechobee county deputies', 'overdoses']"
N10056,"With Luka Samanic, the Spurs get fit without sacrificing potential","['luka samanic', 'the spurs', 'potential']"
N10057,How Much Does It Cost To Start Riding?,"['it', 'riding']"
N10058,"'Younger' star Sutton Foster talks filming Marie's Crisis scene, evolution of the show (Exclusive)","[""younger' star sutton foster"", ""marie's crisis scene"", 'evolution', 'the show']"
N10059,"Trevor Lawrence says he would ""never"" sit out a bowl game","['trevor lawrence', 'he', 'a bowl game']"
N10060,19 things I bought from Amazon to prepare for my deviated septum surgery,"['19 things', 'i', 'amazon', 'my deviated septum surgery']"
N10061,These Portland researchers will pay you to try seaweed bread,"['these portland researchers', 'you', 'seaweed bread']"
N10062,Working For The Weekend: Entertainment Best Bets,"['the weekend', 'entertainment best bets']"
N10063,"After a deadly crash, Jarheads rely on their brotherhood to confront tragedy","['a deadly crash', 'jarheads', 'their brotherhood', 'tragedy']"
N10064,"Balancing Act: In 'Mrs. Everything,' Jennifer Weiner explores her mom's sexuality, evolving gender roles and Donald Trump's America. Is it a beach read? Maybe!","['balancing act', 'mrs. everything', 'jennifer weiner', ""her mom's sexuality"", 'gender roles', ""donald trump's america"", 'it', 'a beach read']"
N10065,Hoiberg Flakes: Alex Gordon & Jordan Burroughs Leads Today's Breakfast,"['hoiberg flakes', 'alex gordon', 'jordan', ""today's breakfast""]"
N10066,Gillian Anderson Is Finding #PenisOfTheDay Pics in Nature - #LateLateLondon,"['gillian anderson', 'pics', 'nature']"
N10067,Recruits warm up to Gophers as program adapts to new rules,"['recruits', 'gophers', 'program adapts', 'new rules']"
N10068,"Tyson Fury vs. Tom Schwarz: Fight date, start time, PPV price, odds, full card","['tyson fury', 'tom schwarz', 'fight date', 'time', 'full card']"
N10069,"Al, Craig and Carson share favorite memories with their dads","['al', 'craig', 'carson', 'favorite memories', 'their dads']"
N10070,Luka Jovic Officially Presented as New Real Madrid Player After Passing Medical,"['luka jovic', 'new real madrid player', 'passing medical']"
N10071,USF Women's Soccer 2019 Schedule Released,"[""usf women's soccer 2019 schedule""]"
N10072,China's job market faces new pressure as trade war with US drags on,"[""china's job market"", 'new pressure', 'trade war', 'us']"
N10073,Max Landis Accused By Multiple Women Of Sexual Abuse,"['max landis', 'multiple women', 'sexual abuse']"
N10074,10-year-old boy questioned by police after he played with toy money,"['10-year-old boy', 'police', 'he', 'toy money']"
N10075,Watch: Manny Machado responds to heckler at Dodger Stadium,"['manny machado', 'dodger stadium']"
N10076,Mexitaly coming to downtown York in part of a $3.6 million project,"['mexitaly', 'downtown york', 'part', 'a $3.6 million project']"
N10077,Opinions | Americans must accept that none of these things ever happened,"['opinions', 'americans', 'none', 'these things']"
N10078,"Adam Devine Angrily Serenades Jimmy with Natalie Imbruglia's ""Torn""","['adam devine angrily', 'jimmy']"
N10079,"Arch-climbing fans forced down, interrupting Raptors parade","['arch-climbing fans', 'raptors']"
N10080,Another strong outing for Frankie Montas as A's rip Mariners,"['another strong outing', 'frankie montas', ""a's rip mariners""]"
N10081,High Point man suffers serious head injuries in four-wheeler crash,"['high point man', 'serious head injuries', 'four-wheeler crash']"
N10082,Manhattan couple's dog found safe after Wag walker allegedly steals pooch,"[""manhattan couple's dog"", 'wag walker', 'pooch']"
N10083,"'Beverly Hills, 90210' Stars and Their Families","[""'beverly hills"", 'stars', 'their families']"
N10084,"Inspired by 'The Whole 30,' Joel Luks went from overweight to Zumba instructor","['the whole', 'joel luks', 'overweight', 'zumba instructor']"
N10085,Porsche 996 GT3 RSR Insane Sound,['porsche 996 gt3 rsr insane sound']
N10086,Princeton High defensive lineman Darrion Henry commits to Ohio State,"['princeton high defensive lineman darrion henry', 'ohio state']"
N10087,Red Sox catcher proclaims team 'back' after sweep of Orioles,"['red sox catcher', 'team', 'sweep', 'orioles']"
N10088,Cisco and American Well are teaming up to let you talk to your doctor from your TV,"['cisco', 'you', 'your doctor', 'your tv']"
N10089,"Gavin ""battling to understand"" how Fassler to blame for crash","['gavin', 'fassler', 'crash']"
N10090,Pools Around Philadelphia To Begin Opening This Week,"['pools', 'philadelphia']"
N10091,Larry Bird's $2.4M Indy mansion for sale; Naples home off the market,"[""larry bird's $2.4m indy mansion"", 'sale', 'naples', 'the market']"
N10092,Links: We haven't even reached the halfway point yet,"['we', 'the halfway point']"
N10093,Why Trump's new vow to use ICE to deport 'millions' matters,"[""why trump's new vow"", 'ice', ""'millions' matters""]"
N10094,Charlotte sets new record low of 49 degrees Friday morning,"['charlotte', 'new record low', '49 degrees']"
N10095,Fear the Walking Dead premiere recap: A crash landing leads to new threats,"['the walking dead premiere recap', 'a crash landing', 'new threats']"
N10096,California 'Lorax' tree sparks investigation after mysterious fall,"[""california 'lorax' tree"", 'investigation', 'mysterious fall']"
N10097,Rookie Tifft transitioning to racing in NASCAR's premier series,"['rookie tifft', ""nascar's premier series""]"
N10098,Aron Baynes Highlights 2018/19 NBA Regular Season,['aron baynes highlights']
N10099,"She was fired for pulling a gun on a black couple. Now, the ex-campground employee has been arrested","['she', 'a gun', 'a black couple', 'the ex-campground employee']"
N10100,"Kerry Blackshear Jr. could be nearing transfer decision, reports say","['kerry blackshear jr.', 'transfer decision', 'reports']"
N10101,"Respawn details Apex Legends' new gun, season 2 weapon improvements","['respawn details', ""apex legends' new gun, season 2 weapon improvements""]"
N10102,Domino's brings self-driving pizza delivery pilot to Houston,"['domino', 'self-driving pizza delivery pilot', 'houston']"
N10103,We tried the new 'meatier' Beyond Burger. Here's what it tastes like,"['we', ""the new 'meatier"", 'burger', 'what', 'it']"
N10104,Body Of Man Who Went Missing At American River Confluence In Placer County Found,"['body', 'man', 'who', 'american river confluence', 'placer county']"
N10105,Pramila Jayapal talks about her own abortion in op-ed,"['pramila jayapal', 'her own abortion', 'op-ed']"
N10106,Luke Perry's Daughter Honors Late Actor After Father's Day,"[""luke perry's daughter honors late actor"", ""father's day""]"
N10107,US companies voice alarm over China tariffs,"['us companies', 'alarm', 'china tariffs']"
N10108,Letter: Data in story on SC 'job haters' seemed to be 'spurious',"['data', 'story', ""sc 'job haters""]"
N10109,Watch: QB coach breaks down Chargers rookie Easton Stick,"['qb coach', 'chargers rookie easton stick']"
N10110,Pop quiz! Kaz Grala surprised with driver's license test,"['pop quiz', 'kaz grala', ""driver's license test""]"
N10111,"Richard P. Kughn, former Lionel toy train co. owner, dies at 89","['richard p. kughn', 'former lionel toy train co. owner']"
N10112,Amtrak reviving Gulf Coast rail line after more than a decade,"['amtrak', 'gulf coast rail line', 'more than a decade']"
N10113,A new psychiatrist will evaluate Catherine Hoggle to see if she can stand trial,"['a new psychiatrist', 'catherine hoggle', 'she', 'trial']"
N10114,CineEurope: Paramount Offers Extended Look at 'Gemini Man',"['cineeurope', 'paramount offers extended look', 'gemini man']"
N10115,Why Pamela Anderson Is Sharing Video of Her Bandaged Hand,"['pamela anderson', 'sharing video', 'her bandaged hand']"
N10116,"College World Series scores: Daily TV schedule, bracket, results for 2019 NCAA baseball tournament","['college world series scores', 'daily tv schedule', 'bracket']"
N10117,Women's World Cup Viewing Party Set For Around LA,"[""women's world cup viewing party"", 'around la']"
N10118,Here's Why Generic-Drug Manufacturers Lost As Much As 43.2% in May,"['generic-drug manufacturers', 'much as 43.2%', 'may']"
N10119,Trump bemoans 'very sad time for America' after citizenship question dropped from census,"['trump bemoans', 'very sad time', 'america', 'citizenship question', 'census']"
N10120,How to Naturally Lower Cholesterol Levels in Children,"['naturally lower cholesterol levels', 'children']"
N10121,St. Louis Blues Capture First Stanley Cup With Game Seven Win Over Bruins,"['st. louis blues capture first stanley cup', 'game seven', 'win', 'bruins']"
N10122,"Unsatisfied with negotiations, Danton Heinen is taking Bruins to salary arbitration","['negotiations', 'danton heinen', 'bruins', 'salary arbitration']"
N10123,Former Maine governor has a new job _ tending bar,"['former maine governor', 'a new job', 'tending bar']"
N10124,Panthers' Roberto Luongo faces tough decision on future,"[""panthers' roberto luongo"", 'tough decision', 'future']"
N10125,Mercedes Fan Builds 300KMH C9 Sauber | RIDICULOUS RIDES,['mercedes fan builds 300kmh c9 sauber']
N10126,St. Louis alderman arrested again for outstanding warrants during traffic stop,"['st. louis alderman', 'outstanding warrants', 'traffic stop']"
N10127,LACMA architect Peter Zumthor comments on museum's revised design,"['peter zumthor', ""museum's revised design""]"
N10128,Why Wynn Resorts Stock Plunged 25.7% Last Month,['wynn resorts stock']
N10129,Ex Miami-Dade School Board Member Solomon Stinson Remains In Jail,"['ex miami-dade school board member solomon stinson', 'jail']"
N10130,Is Nick Caserio eager to leave Patriots for Texans?,"['nick caserio', 'patriots', 'texans']"
N10131,21 Fascinating Numbers From the 189 FCS-Over-FBS Wins of All Time,"['21 fascinating numbers', 'over-fbs', 'all time']"
N10132,Would you buy this Chevrolet Suburban and RV? We would,"['you', 'this chevrolet suburban', 'rv', 'we']"
N10133,"2020 Kia Telluride first drive: A big, bold SUV with great value","['kia telluride first drive', 'a big, bold suv', 'great value']"
N10134,15 Ways to Brighten Up Your House to Fight Cabin Fever,"['15 ways', 'your house', 'cabin fever']"
N10135,Agostino fired up after scoring in Blues debut,"['agostino', 'scoring', 'blues']"
N10136,Steelers LB T.J. Watt snubbed among elite NFL edge defenders,"['steelers lb t.j. watt', 'elite nfl edge defenders']"
N10137,Kansas City police release photo of person of interest in Monday's homicide,"['kansas city police', 'person', 'interest', ""monday's homicide""]"
N10138,Easy Recipes You Can Make in a Mug,"['you', 'a mug']"
N10139,Largest cocaine bust in centuries uncovered in Philadelphia,"['largest cocaine bust', 'centuries', 'philadelphia']"
N10140,Why Is Kohl's (KSS) Down 12.3% Since Last Earnings Report?,"[""kohl's (kss"", 'last earnings report']"
N10141,"The Latest: Spieth, caddie find rake trouble on No. 2","['the latest: spieth', 'caddie', 'rake trouble', 'no', '.']"
N10142,Her 'vision trouble' turned out to be a sign of stroke but she ignored it,"[""her 'vision trouble"", 'a sign', 'stroke', 'she', 'it']"
N10143,'Avengers: Endgame' failed to beat 'Avatar' for the worldwide box-office record after being rereleased to theaters,"['endgame', 'avatar', 'the worldwide box-office record', 'theaters']"
N10144,Woman Recently Finds Out Her Late Husband of Over 60 Years Was A Spy!,"['woman', 'her late husband', 'over 60 years', 'a spy']"
N10145,Testimony: Suspect Bought Drano After Chinese Scholar Death,"['testimony', 'suspect bought drano', 'chinese scholar death']"
N10146,Exclusive: Images show construction on China's third - and largest - aircraft carrier,"['images', 'construction', ""china's third - and largest - aircraft carrier""]"
N10147,Kentucky Peerless is bringing back a classic in a new way 102 years later,"['kentucky peerless', 'a classic', 'a new way']"
N10148,Louisville City FC comes back to beat Nashville SC,"['louisville city fc', 'nashville sc']"
N10149,Heirloom Tomato Pie,['heirloom tomato pie']
N10150,Forrest Gump (1994) Trailer #1 | Movieclips Classic Trailers,"['forrest gump', 'trailer #1 | movieclips classic trailers']"
N10151,Winners and losers from Raptors' series-clinching Game 6 win,"['winners', 'losers', ""raptors' series-clinching game""]"
N10152,10 overrated US cities and where you should go instead,"['10 overrated us cities', 'you']"
N10153,Sharks re-sign Tim Heed to one-year contract,"['sharks', 'sign tim heed', 'one-year contract']"
N10154,Dozens Of Local Agencies Deemed 'Unauditable' By WA Auditor,"['dozens', 'local agencies', ""deemed 'unauditable"", 'wa auditor']"
N10155,Dacre Montgomery's Stranger Things character influenced by his own style,"[""dacre montgomery's stranger things character"", 'his own style']"
N10156,Do Keto Supplements For Faster Weight Loss Work?,"['keto supplements', 'faster weight loss work']"
N10157,General Electric (GE) Stock Sinks As Market Gains: What You Should Know,"['general electric', 'ge', 'stock sinks', 'market gains', 'what', 'you']"
N10158,Slime from Slugs Could Make Stronger Glue Used in Medical Surgery,"['slime', 'slugs', 'stronger glue', 'medical surgery']"
N10159,"We will leave EU by Oct. 31, Johnson vows in pitch to be UK PM","['we', 'eu', 'oct.', 'johnson', 'pitch', 'uk pm']"
N10160,Cubs host high-scoring Braves in showdown of division leaders,"['cubs', 'host high-scoring braves', 'showdown', 'division leaders']"
N10161,The 50 Best Places To Retire -- and What It Costs To Live There,"['the 50 best places', 'retire', 'what', 'it']"
N10162,McConnell opens door to vote on Iran war authorization,"['mcconnell', 'door', 'iran war authorization']"
N10163,Sunday open thread: is the NBA one day away from sweeping changes?,"['sunday open thread', 'the nba', 'sweeping changes']"
N10164,"Christie Brinkley & Her Daughter Raise a Glass, Plus Pride Celebrations, Miley Cyrus & More","['christie brinkley', 'her daughter', 'a glass, plus pride celebrations', 'miley cyrus']"
N10165,"11,000 high school students worship during Forward Conference 2019","['11,000 high school students', 'forward conference']"
N10166,A woman had a black horn growing from her thumb for 5 years and doctors had to surgically remove it,"['a woman', 'a black horn', 'her thumb', '5 years', 'doctors', 'it']"
N10167,Passenger found dead on Princess Cruises ship sailing in the Caribbean,"['passenger', 'the caribbean']"
N10168,Winston-Salem Salvation Army Packs Meals to 'Stop Summer Hunger',"['winston-salem salvation army', 'meals', 'summer hunger']"
N10169,9 Ways to Lose Weight When You're in Your 50s,"['9 ways', 'weight', 'you', 'your 50s']"
N10170,NBA's Free Agency Bonanza,"[""nba's free agency bonanza""]"
N10171,"Cincinnati weather: Father's Day to see more rain, storms","['cincinnati weather', ""father's day"", 'more rain']"
N10172,Go to the Phoenix Suns Draft Party!,['the phoenix suns draft party']
N10173,Middletown woman wanted after allegedly assaulting police officer,"['middletown woman', 'police officer']"
N10174,The BMW M5 Competition Is the M5 You Want,"['the bmw m5 competition', 'the m5', 'you']"
N10175,Here's How Amazon's Motor Oil Stacks Up Against Big Name Brands,['big name brands']
N10176,Joaquin Castro To Laura Ingraham: 'You're A White Supremacist',"['joaquin castro', 'laura ingraham', 'you', 'a white supremacist']"
N10177,Can Sam's Club Change How America Buys Tires?,"[""can sam's club change"", 'america', 'tires']"
N10178,"The owner of Budweiser and Corona is planning the largest IPO of 2019. Meet the company's famously private CEO, who has only one hobby and doesn't like company perks","['the owner', 'budweiser', 'corona', 'the largest ipo', ""the company's famously private ceo"", 'who', 'only one hobby', 'company perks']"
N10179,NBA Draft 2019: Grant Williams selected by Boston Celtics,"['nba draft', 'grant williams', 'boston celtics']"
N10180,Jack Easterby at center of Patriots' tampering charge against Texans,"['jack easterby', 'center', ""patriots' tampering charge"", 'texans']"
N10181,"Severe Storms With Damaging Winds, Large Hail Possible For IL","['severe storms', 'damaging winds', 'large hail', 'il']"
N10182,Man Dead After Crashing Speeding Lamborghini In Northeast Dallas,"['man dead', 'speeding lamborghini', 'northeast dallas']"
N10183,The Last Thing America Needs Is Yet Another Open-Ended War In The Middle East,"['the last thing', 'yet another open-ended war', 'the middle east']"
N10184,California's Swimming Pools Have Diarrhea-Causing 'Poop Water',"[""california's swimming pools"", ""diarrhea-causing 'poop water""]"
N10185,This $12 dish is the best comfort food to have in February,"['this $12 dish', 'the best comfort food', 'february']"
N10186,Check It Out: The World's Largest Chest of Drawers,"['it', ""the world's largest chest"", 'drawers']"
N10187,Welcome to Motherhood! Celebrities Who Became First-Time Moms This Year,"['motherhood', 'celebrities', 'who', 'first-time moms']"
N10188,"Departing Volusia Superintendent Tom Russell to get $244,300 from district","['volusia superintendent tom russell', 'district']"
N10189,"Radio host apologizes for Andy Reid comments, pulled off air indefinitely","['radio host', 'andy reid comments', 'air']"
N10190,Ramsey veteran draws on experience for military psychological thriller,"['ramsey veteran', 'experience', 'military psychological thriller']"
N10191,11 Summer Sandals We Found at Walmart and Need ASAP - Starting at Just $25,"['we', 'walmart', 'asap']"
N10192,Better buy: Apple vs. Microsoft,"['apple', 'microsoft']"
N10193,"Democrats want investigation into cost, legality of Trump's July 4th event","['democrats', 'investigation', 'cost', 'legality', ""trump's july 4th event""]"
N10194,"Joseph Iscovitz, one of few remaining Pearl Harbor survivors, dies at 103","['joseph iscovitz', 'few remaining pearl harbor survivors']"
N10195,Alaska Air criticized after video surfaces of worker 'carelessly throwing luggage' off plane,"['alaska air', 'video surfaces', 'worker', 'luggage', 'off plane']"
N10196,NBA Draft: Jaxson Hayes' mom was one of Iowa's greatest basketball players ever,"['nba draft', ""jaxson hayes' mom"", ""iowa's greatest basketball players""]"
N10197,Alex Dickerson's historic debut leads Giants past Diamondbacks,"[""alex dickerson's historic debut"", 'giants', 'diamondbacks']"
N10198,3 Pounds Of Pot; New Playland Ride; Jersey Mike's Opening,"['3 pounds', 'pot', 'new playland ride', ""jersey mike's opening""]"
N10199,Gemini: Your daily horoscope - July 12,"['gemini', 'your daily horoscope - july']"
